split,role,scene_id,method,actual_mechanism,branch,gain_db,family,angle,range_band,snr,radial_velocity_band,clutter_ridge,clutter_ridge_distance_band,texture_band,rho_band
test,target_off,test_047,J6_Joint_Phase_Surface,M1+M3,D0P0,0.0,M1+M3,-60,1500,-2.25781,positive_fast,false,far,0.35,0.84
test,target_off,test_048,J5_Selective_Physics_Calibration,M2+M3,D0P1,0.0055978243533703065,M2+M3,-50,1500,7.08594,negative_fast,false,far,0.4,0.81
test,target_off,test_048,J6_Joint_Phase_Surface,M2+M3,D0P1,0.1437193308237399,M2+M3,-50,1500,7.08594,negative_fast,false,far,0.4,0.81
test,target_off,test_049,J5_Selective_Physics_Calibration,M2+M3,D0P1,0.006019813256769702,M2+M3,-40,1000,3.63281,negative_fast,false,far,0.65,0.57
test,target_off,test_049,J6_Joint_Phase_Surface,M2+M3,D0P1,-0.46237655719334025,M2+M3,-40,1000,3.63281,negative_fast,false,far,0.65,0.57
test,target_off,test_050,J5_Selective_Physics_Calibration,M2+M3,D0P1,-0.001440376627670048,M2+M3,-80,500,4.44531,negative_fast,false,far,0.23,0.46
test,target_off,test_050,J6_Joint_Phase_Surface,M2+M3,D0P0,0.0,M2+M3,-80,500,4.44531,negative_fast,false,far,0.23,0.46
test,target_off,test_051,J5_Selective_Physics_Calibration,M2+M3,D0P1,0.01523329235892934,M2+M3,-70,0,2.00781,negative_slow,true,far,0.66,0.71
test,target_off,test_051,J6_Joint_Phase_Surface,M2+M3,D0P1,0.5506182489072096,M2+M3,-70,0,2.00781,negative_slow,true,far,0.66,0.71
test,target_off,test_052,J5_Selective_Physics_Calibration,M2+M3,D0P1,0.001395077105430076,M2+M3,-60,500,-2.86719,negative_slow,false,far,0.21,0.77
test,target_off,test_052,J6_Joint_Phase_Surface,M2+M3,D0P0,0.0,M2+M3,-60,500,-2.86719,negative_slow,false,far,0.21,0.77
test,target_off,test_053,J5_Selective_Physics_Calibration,M2+M3,D0P1,0.004367846667689967,M2+M3,-50,1000,-4.69531,positive_fast,false,far,0.61,0.88
test,target_off,test_053,J6_Joint_Phase_Surface,M2+M3,D0P0,0.0,M2+M3,-50,1000,-4.69531,positive_fast,false,far,0.61,0.88
test,target_off,test_054,J5_Selective_Physics_Calibration,M2+M3,D0P1,-0.00013222546129032509,M2+M3,-40,1500,-1.03906,positive_fast,false,far,1.01,0.59
test,target_off,test_054,J6_Joint_Phase_Surface,M2+M3,D0P0,0.0,M2+M3,-40,1500,-1.03906,positive_fast,false,far,1.01,0.59
test,target_off,test_055,J5_Selective_Physics_Calibration,M2+M3,D0P0,0.0,M2+M3,-80,0,0.382812,negative_fast,false,far,0.78,0.67
test,target_off,test_055,J6_Joint_Phase_Surface,M2+M3,D0P0,0.0,M2+M3,-80,0,0.382812,negative_fast,false,far,0.78,0.67
test,target_off,test_056,J5_Selective_Physics_Calibration,M1+M2+M3,D1P1,0.07993795045260921,M1+M2+M3,-70,500,3.83594,positive_fast,false,far,0.76,0.52
test,target_off,test_056,J6_Joint_Phase_Surface,M1+M2+M3,D1P1,0.3292131337486497,M1+M2+M3,-70,500,3.83594,positive_fast,false,far,0.76,0.52
test,target_off,test_057,J5_Selective_Physics_Calibration,M1+M2+M3,D0P0,0.0,M1+M2+M3,-60,0,7.49219,negative_fast,false,far,0.87,0.84
test,target_off,test_057,J6_Joint_Phase_Surface,M1+M2+M3,D0P0,0.0,M1+M2+M3,-60,0,7.49219,negative_fast,false,far,0.87,0.84
test,target_off,test_058,J5_Selective_Physics_Calibration,M1+M2+M3,D0P0,0.0,M1+M2+M3,-50,500,2.61719,negative_slow,false,far,0.73,0.83
test,target_off,test_058,J6_Joint_Phase_Surface,M1+M2+M3,D0P0,0.0,M1+M2+M3,-50,500,2.61719,negative_slow,false,far,0.73,0.83
test,target_off,test_059,J5_Selective_Physics_Calibration,M1+M2+M3,D1P1,-0.6324271506811998,M1+M2+M3,-40,0,-1.64844,negative_fast,false,far,0.48,0.79
test,target_off,test_059,J6_Joint_Phase_Surface,M1+M2+M3,D1P1,0.26178790982323985,M1+M2+M3,-40,0,-1.64844,negative_fast,false,far,0.48,0.79
test,target_off,test_060,J5_Selective_Physics_Calibration,M1+M2+M3,D1P1,0.10006208432215047,M1+M2+M3,-80,500,-4.28906,positive_fast,false,far,0.26,0.69
test,target_off,test_060,J6_Joint_Phase_Surface,M1+M2+M3,D1P1,0.14171559939485068,M1+M2+M3,-80,500,-4.28906,positive_fast,false,far,0.26,0.69
test,target_off,test_061,J5_Selective_Physics_Calibration,M1+M2+M3,D1P1,-0.024773254128519717,M1+M2+M3,-70,1500,7.69531,positive_fast,false,far,0.37,0.63
test,target_off,test_061,J6_Joint_Phase_Surface,M1+M2+M3,D1P0,0.0008085586364305897,M1+M2+M3,-70,1500,7.69531,positive_fast,false,far,0.37,0.63
test,target_off,test_062,J5_Selective_Physics_Calibration,M1+M2+M3,D1P1,0.5855322019214597,M1+M2+M3,-60,500,-1.85156,positive_slow,true,far,0.56,0.78
test,target_off,test_062,J6_Joint_Phase_Surface,M1+M2+M3,D1P1,0.8422390529392505,M1+M2+M3,-60,500,-1.85156,positive_slow,true,far,0.56,0.78
test,target_off,test_063,J5_Selective_Physics_Calibration,M1+M2+M3,D1P1,0.0455927818347206,M1+M2+M3,-50,500,-3.07031,negative_slow,false,far,1.03,0.5
test,target_off,test_063,J6_Joint_Phase_Surface,M1+M2+M3,D1P1,-0.1716310636593894,M1+M2+M3,-50,500,-3.07031,negative_slow,false,far,1.03,0.5
