split,scene_id,joint_confidence,joint_rmse_rad,residual_coherence,tau_ns,beta1_deg_per_pulse,beta2_deg_per_pulse2,d3_j6_delay_disagreement_ns,p1_j6_phase_disagreement_deg_per_pulse,raw_coherence,support_fraction,delay_confidence,phase_confidence,phase_signal,delay_signal,delay_extrapolation_ratio
calibration,calibration_000,0.8091959631096515,0.3727090921879223,0.9181188145494693,-0.029979802809322255,0.036405123582966825,-0.00029378054770741636,0.12104208727656024,0.037248080503706996,0.8635705379477809,0.49991554054054055,0.0028573216219179853,0.00018152103674151654,0.03934292906004099,0.1510218900858825,3.0384935279718505e-07
calibration,calibration_001,0.8160554929373087,0.36207054311561176,0.9223578153498054,0.10576771910898829,0.035940195783833215,-0.00015798449538956762,0.051552464884996596,0.017869740444328153,0.8700292920537165,0.49991554054054055,0.0004390162140722742,0.06010089671520691,0.03752004073772889,0.05421525422399169,1.071970126104611e-06
calibration,calibration_002,0.7782706791635189,0.4181522018092189,0.8977649746539942,0.24534681932993102,-0.2466624941131595,0.001958020259595855,0.5119035960900065,0.2510287434635497,0.8326574796529528,0.49991554054054055,0.06832962655445485,0.0006187528913939033,0.26624269670911804,0.7572504154199374,2.4866231688844365e-06
calibration,calibration_003,0.8246923114825028,0.3480605357673481,0.9274449685744005,0.0967231290728562,0.04508219320831385,-0.00032506958378459194,0.04131767274584379,0.04067258045761849,0.8765365631278544,0.49991554054054055,0.0027455646342655626,0.005305500676977326,0.048332889046159774,0.1380408018187,9.803019838465157e-07
calibration,calibration_004,0.818444807067417,0.35799998714688996,0.9237056212457346,-0.056724370490841995,-0.04105784002681968,0.0002639099897769811,0.13158240570536514,0.033729017638973506,0.8714875360766808,0.49991554054054055,0.005726476298338223,0.010467661567217124,0.043696939924589485,0.18830677619620714,5.749091603801555e-07
calibration,calibration_005,0.8257389518193802,0.34661442781209945,0.9281415507617742,-0.028429313611353032,0.09464783026771108,-0.0007962117171726133,0.09780314707848371,0.103734730170722,0.8778853677461521,0.49991554054054055,0.0006502557143113208,0.040180837656261015,0.10260994743943722,0.06937383346713068,2.881349352501997e-07
calibration,calibration_006,0.8238729539383634,0.3491051316759773,0.9268701110650713,-0.3987000503639489,-0.1269316917831422,0.0008829787197404139,0.26590556496426104,0.11084782920803424,0.876321148548918,0.49991554054054055,0.062399311529763635,0.036415049825543555,0.13576147898054636,0.6646056153282099,4.040878888823807e-06
calibration,calibration_007,0.859156808404803,0.2916355602161155,0.9470741590607807,0.5713748799244277,-0.009051879841868605,-1.0554617337025833e-05,0.5920638177340474,0.004359291951420862,0.9070516575741447,0.49991554054054055,0.00012774000187576462,0.027051669909002984,0.009157426015238864,0.020688937809619615,5.7909616208556865e-06
calibration,calibration_008,0.8183755119134022,0.35780446536994165,0.9235625422166222,-0.293714323786692,-0.07451749703307006,0.0006432177362673694,0.00985312634307045,0.07855181629669299,0.8722423477348058,0.49991554054054055,0.017510751813802017,0.00028635283952238577,0.08094967439574376,0.30356745012976244,2.97683436270296e-06
calibration,calibration_009,0.7580913077332044,0.44995406630773366,0.8848194160902563,-0.09874105868460906,0.00593036251121441,-0.00031238913695677014,0.0358750589923236,0.03303091803674132,0.8160055177290009,0.49991554054054055,0.0014422921011869594,0.0667494015173482,0.009054253880782112,0.13461611767693266,1.0007539731548216e-06
