case_id,factor,factor_level,seed,method,comparison_protocol,threshold_scale,target_detected,background_Pfa
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener [scientific controlled],scientific_controlled,2.0,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener [scientific controlled],scientific_controlled,3.0,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener [scientific controlled],scientific_controlled,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,0.5,1.0,0.009376422394173873
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,0.75,1.0,0.002027385829160977
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1.0,1.0,0.00033378849946897286
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,1.5,1.0,7.5861022606584735e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,2.0,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,3.0,0.0,1.8965255651646184e-06
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,5.0,0.0,0.0
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,0.5,1.0,0.011259672280382339
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,0.75,1.0,0.006230086481565772
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,1.0,1.0,0.004367698376574116
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,1.5,1.0,0.002520482476103778
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,2.0,1.0,0.001640494613867395
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,3.0,0.0,0.000720679714762555
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR global,scientific_controlled,5.0,0.0,0.00019154908208162647
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,0.5,1.0,0.01116105295099378
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,0.75,1.0,0.006309740555302685
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,1.0,1.0,0.004587695342133212
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,1.5,1.0,0.0028656501289637385
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,2.0,1.0,0.0018908359884691245
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,3.0,0.0,0.0009236079502351692
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,DL-SMI/MVDR local,scientific_controlled,5.0,0.0,0.0002806857836443635
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,0.5,1.0,0.011216052192383554
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,0.75,1.0,0.006218707328174784
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,1.0,1.0,0.004392353208921256
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,1.5,1.0,0.002554619936276741
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,2.0,1.0,0.0016746320740403582
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,3.0,0.0,0.0007434380215445304
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR global,scientific_controlled,5.0,0.0,0.0002048247610377788
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,0.5,1.0,0.011197086936731908
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,0.75,1.0,0.006300257927476863
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,1.0,1.0,0.004519420421787285
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,1.5,1.0,0.00278409952966166
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,2.0,1.0,0.0018168714914277044
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,3.0,0.0,0.0008761948111060537
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Shrinkage-SMI/MVDR local,scientific_controlled,5.0,0.0,0.00025223790016689425
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,0.5,1.0,0.0112350174480352
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,0.75,1.0,0.006249051737217418
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,1.0,1.0,0.004343043544226976
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,1.5,1.0,0.002431345774541041
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,2.0,1.0,0.0015153239265665302
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,3.0,0.0,0.0006505082688514641
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,Corrected JDL physical,scientific_controlled,5.0,0.0,0.00015551509634349872
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,0.5,1.0,0.011214155666818389
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,0.75,1.0,0.006275603095129722
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,1.0,1.0,0.004432180245789713
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,1.5,1.0,0.002649446214534972
baseline_v2_transitionpilottargetsnrdbm18p0_s20261121,target_snr_db,-18.0,20261121,MNEC physical,scientific_controlled,2.0,1.0,0.0017637687756030952
