method,comparison_protocol,threshold_scale,n_cases,n_seeds,background_Pfa_mean,background_Pfa_std,background_Pfa_ci95_low,background_Pfa_ci95_high,Pd_mean,Pd_std,Pd_ci95_low,Pd_ci95_high,Pd_successes,Pd_trials
Corrected JDL physical,scientific_controlled,0.5,48,8,0.011249715521165224,0.00029146546728029473,0.011167260979979353,0.011332170062351096,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Corrected JDL physical,scientific_controlled,0.75,48,8,0.006303339781520254,0.0001617506906358516,0.006257581088021064,0.006349098475019443,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Corrected JDL physical,scientific_controlled,1.0,48,8,0.004324789485662267,5.7024242649938636e-05,0.004308657530792805,0.004340921440531729,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Corrected JDL physical,scientific_controlled,1.5,48,8,0.0024346646942800788,3.976357664047884e-05,0.002423415720264756,0.0024459136682954013,0.7083333333333334,0.4593396431851038,0.5682047226383246,0.8175858393813663,34,48
Corrected JDL physical,scientific_controlled,2.0,48,8,0.0014809494006979215,4.927958581251249e-05,0.001467008381626551,0.001494890419769292,0.3958333333333333,0.4942039949782704,0.2702062649595057,0.5368984540306487,19,48
Corrected JDL physical,scientific_controlled,3.0,48,8,0.0006367584585040206,2.1699675027713847e-05,0.0006306196978302836,0.0006428972191777577,0.14583333333333334,0.35667395763741655,0.07248157413793963,0.27167447042858606,7,48
Corrected JDL physical,scientific_controlled,5.0,48,8,0.00015693749051737217,1.2374661179857916e-05,0.00015343674300365536,0.00016043823803108898,0.0625,0.24462302739504083,0.021482843131227225,0.1683569766274222,3,48
Current legacy CSI [production replay],production_replay,0.5,48,8,0.015266122047741871,0.00041087989098421014,0.015149885591980121,0.015382358503503621,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Current legacy CSI [production replay],production_replay,0.75,48,8,0.0052416805745208106,0.00023002546942003243,0.005176607189604669,0.005306753959436952,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Current legacy CSI [production replay],production_replay,1.0,48,8,0.0020245805517625044,0.00013385785159987284,0.001986712642947153,0.002062448460577856,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Current legacy CSI [production replay],production_replay,1.5,48,8,0.0003191299372882213,7.564760496896376e-05,0.00029772949963868133,0.00034053037493776125,0.9791666666666666,0.14433756729740646,0.8910053086246883,0.9963129840206002,47,48
Current legacy CSI [production replay],production_replay,2.0,48,8,2.908005866585748e-05,1.6860470774943745e-05,2.4310291616271315e-05,3.3849825715443645e-05,0.9791666666666666,0.14433756729740646,0.8910053086246883,0.9963129840206002,47,48
Current legacy CSI [production replay],production_replay,3.0,48,8,4.741313912911546e-07,1.267708551022591e-06,1.1550116347259889e-07,8.327616191097104e-07,0.9583333333333334,0.20194093652345887,0.8602408885222853,0.9884983479210344,46,48
Current legacy CSI [production replay],production_replay,5.0,48,8,0.0,0.0,0.0,0.0,0.8958333333333334,0.3087092781885836,0.7783231187385907,0.9546789490988218,43,48
Current legacy CSI [scientific controlled],scientific_controlled,0.5,48,8,0.015265134274010014,0.0004111465215568998,0.015148822389410184,0.015381446158609844,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Current legacy CSI [scientific controlled],scientific_controlled,0.75,48,8,0.005241996662115005,0.0002302767371689984,0.005176852194448824,0.005307141129781185,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Current legacy CSI [scientific controlled],scientific_controlled,1.0,48,8,0.002024066909421939,0.00013434549540162095,0.001986061047914248,0.00206207277092963,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
Current legacy CSI [scientific controlled],scientific_controlled,1.5,48,8,0.0003188533606433015,7.494620843644464e-05,0.00029765134557128975,0.0003400553757153132,0.9791666666666666,0.14433756729740646,0.8910053086246883,0.9963129840206002,47,48
Current legacy CSI [scientific controlled],scientific_controlled,2.0,48,8,2.892201486876043e-05,1.686576531763193e-05,2.4150750011930695e-05,3.369327972559016e-05,0.9791666666666666,0.14433756729740646,0.8910053086246883,0.9963129840206002,47,48
Current legacy CSI [scientific controlled],scientific_controlled,3.0,48,8,4.741313912911546e-07,1.267708551022591e-06,1.1550116347259889e-07,8.327616191097104e-07,0.9583333333333334,0.20194093652345887,0.8602408885222853,0.9884983479210344,46,48
Current legacy CSI [scientific controlled],scientific_controlled,5.0,48,8,0.0,0.0,0.0,0.0,0.8958333333333334,0.3087092781885836,0.7783231187385907,0.9546789490988218,43,48
DL-SMI/MVDR global,scientific_controlled,0.5,48,8,0.011212022075557581,0.0003144916573091432,0.01112305350733515,0.011300990643780012,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
DL-SMI/MVDR global,scientific_controlled,0.75,48,8,0.006297413139129115,0.00019166430919466995,0.00624319198962616,0.006351634288632071,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
DL-SMI/MVDR global,scientific_controlled,1.0,48,8,0.004390219617660447,4.86135356127343e-05,0.004376467021815134,0.00440397221350576,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
DL-SMI/MVDR global,scientific_controlled,1.5,48,8,0.0025330469579729936,3.861757963130028e-05,0.0025221221824243845,0.0025439717335216027,0.7083333333333334,0.4593396431851038,0.5682047226383246,0.8175858393813663,34,48
DL-SMI/MVDR global,scientific_controlled,2.0,48,8,0.0016009046426945835,5.621734598909079e-05,0.0015850009560126888,0.0016168083293764783,0.5,0.5052911526399113,0.36389098932037767,0.6361090106796223,24,48
DL-SMI/MVDR global,scientific_controlled,3.0,48,8,0.0007199685176756183,1.944984120343115e-05,0.0007144662269667683,0.0007254708083844683,0.14583333333333334,0.35667395763741655,0.07248157413793963,0.27167447042858606,7,48
DL-SMI/MVDR global,scientific_controlled,5.0,48,8,0.00018657070247306935,1.5450226988192232e-05,0.00018219988836113942,0.00019094151658499928,0.0625,0.24462302739504083,0.021482843131227225,0.1683569766274222,3,48
DL-SMI/MVDR local,scientific_controlled,0.5,48,8,0.011149436731907145,0.0003329838505291021,0.011055236788174948,0.011243636675639341,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
DL-SMI/MVDR local,scientific_controlled,0.75,48,8,0.006412627067212865,0.0001805259453549691,0.006361556921115334,0.006463697213310396,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
DL-SMI/MVDR local,scientific_controlled,1.0,48,8,0.004603104612350174,5.538626390100769e-05,0.0045874360358269545,0.004618773188873394,1.0,0.0,0.9258973488472576,0.9999999999999999,48,48
