variant,experiment,target_id,alignment_shift_prt,alignment_shift_truth_prt,alignment_estimation_source,support_mode,phase_mode,amplitude_mode,direct_weight_from_background_only,p38_k_rad_per_hz,p38_b_rad,p38_rmse_rad,p38_fit_source,support_row_start,support_row_end,CA_ROI_dB,CSR_ROI_proxy_dB,input_SCNR_dB,output_SCNR_dB,SCNR_improvement_dB,target_loss_dB,target_signal_power_before,target_signal_power_after,background_power_before,background_power_after,residual_high_energy_count,residual_high_energy_points,residual_high_energy_threshold_db_over_active_median,Pd,false_alarm_count,cfar_alpha,target_peak_power,cfar_candidate_cells,condition,condition_label
Current,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,2.0,1.8416666666666668,target_observation,current,current,current,0,0.0008713457219446949,-0.006377399498657813,0.004431448603891319,observed,42,88,28.61945509679304,28.61945509679304,4.284748615214408,25.917061388006083,21.632312772791675,-6.987142324001367,21083233.094949454,4219130.688118159,7860720.396001578,10802.315044266654,4044.0,4044.0,15.0,1.0,1013.0,13.44971616743564,74544362.13401563,1026.0,typical_uniform_clutter,Typical: uniform texture
Oracle phase,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,2.0,1.8416666666666668,target_observation,current,oracle,current,0,0.0008713457219446949,-0.006377399498657813,0.004431448603891319,observed,42,88,28.538568090454284,28.538568090454284,4.284748615214408,25.850830281464994,21.566081666250586,-6.972486424203696,21083233.094949454,4233392.81036809,7860720.396001578,11005.39259533009,4445.0,4445.0,15.0,1.0,1115.0,13.44971616743564,74761744.81838581,1130.0,typical_uniform_clutter,Typical: uniform texture
Oracle amplitude,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,2.0,1.8416666666666668,target_observation,current,current,oracle,0,0.0008713457219446949,-0.006377399498657813,0.004431448603891319,observed,42,88,23.73929290957171,23.73929290957171,4.284748615214408,21.293175975505648,17.00842736029124,-6.7308655492804625,21083233.094949454,4475593.715881596,7860720.396001578,33230.20785802981,935.0,935.0,15.0,1.0,136.0,13.44971616743564,74372330.17953973,150.0,typical_uniform_clutter,Typical: uniform texture
Oracle delay,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,1.8416666666666668,1.8416666666666668,background_clutter_noise,current,current,current,0,0.00015561209491400676,-0.0009002398101822107,0.0056926399341976,observed,42,88,28.38345917102254,28.38345917102254,4.2681450919348976,25.658341875303485,21.390196783368587,-6.993262387653955,20897371.29952915,4176047.4096334553,7821267.685785011,11348.311099824326,4288.0,4288.0,15.0,1.0,922.0,13.44971616743564,73277311.76967482,935.0,typical_uniform_clutter,Typical: uniform texture
Oracle support,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,2.0,1.8416666666666668,target_observation,oracle,current,current,0,0.0008713457219446949,-0.006377399498657813,0.004431448603891319,observed,42,88,28.61945509679304,28.61945509679304,4.284748615214408,25.917061388006083,21.632312772791675,-6.987142324001367,21083233.094949454,4219130.688118159,7860720.396001578,10802.315044266654,4044.0,4044.0,15.0,1.0,1013.0,13.44971616743564,74544362.13401563,1026.0,typical_uniform_clutter,Typical: uniform texture
Oracle weight,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,2.0,1.8416666666666668,target_observation,current,oracle,oracle_complex_ls,1,0.0008713457219446949,-0.006377399498657813,0.004431448603891319,observed,42,88,23.70822621753645,23.70822621753645,4.284748615214408,21.276530880665074,16.991782265450667,-6.716443952085785,21083233.094949454,4490480.5032313075,7860720.396001578,33468.768074054344,946.0,946.0,15.0,1.0,157.0,13.44971616743564,74588810.78126967,171.0,typical_uniform_clutter,Typical: uniform texture
Oracle All,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,1.8416666666666668,1.8416666666666668,background_clutter_noise,oracle,oracle,oracle_complex_ls,1,0.00015561209491400676,-0.0009002398101822107,0.0056926399341976,observed,42,88,23.496073156974905,23.496073156974905,4.2681450919348976,21.02899248707994,16.760847395145042,-6.7352257618298665,20897371.29952915,4431687.035440088,7821267.685785011,34967.92277263101,1119.0,1119.0,15.0,1.0,119.0,13.44971616743564,72989276.64847857,133.0,typical_uniform_clutter,Typical: uniform texture
Current,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,2.0,1.8416666666666668,target_observation,current,current,current,0,0.0008723840117269711,-0.006639853602988767,0.005078311564205722,observed,42,88,26.689520088646788,26.689520088646788,1.5718043894219391,21.237359487128376,19.665555097706438,-7.02396499094035,150997349.85967657,29962139.796499044,105145063.14416721,225339.2670066731,9582.0,9582.0,15.0,1.0,3949.0,13.44971616743564,561354147.9473656,3959.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
Oracle phase,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,2.0,1.8416666666666668,target_observation,current,oracle,current,0,0.0008723840117269711,-0.006639853602988767,0.005078311564205722,observed,42,88,26.59350333264952,26.59350333264952,1.5718043894219391,21.174539371740355,19.602734982318417,-6.990768350331104,150997349.85967657,30192042.21544554,105145063.14416721,230376.6999460946,9542.0,9542.0,15.0,1.0,3951.0,13.44971616743564,562091167.7590066,3961.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
Oracle amplitude,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,2.0,1.8416666666666668,target_observation,current,current,oracle,0,0.0008723840117269711,-0.006639853602988767,0.005078311564205722,observed,42,88,21.476865840373172,21.476865840373172,1.5718043894219391,16.287787975971312,14.715983586549374,-6.7608822538238025,150997349.85967657,31833258.777522467,105145063.14416721,748345.759579187,6021.0,6021.0,15.0,1.0,3991.0,13.44971616743564,587544473.4171069,3999.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
