variant,experiment,target_id,all_truth_except,alignment_shift_prt,alignment_estimation_source,support_mode,phase_mode,amplitude_mode,p38_k_rad_per_hz,p38_b_rad,p38_rmse_rad,p38_fit_source,CA_ROI_dB,CSR_ROI_proxy_dB,input_SCNR_dB,output_SCNR_dB,SCNR_improvement_dB,target_loss_dB,target_signal_power_before,target_signal_power_after,background_power_before,background_power_after,residual_high_energy_count,residual_high_energy_points,residual_high_energy_threshold_db_over_active_median,Pd,false_alarm_count,cfar_alpha,target_peak_power,cfar_candidate_cells,condition,condition_label
LOO_phase,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,phase,1.8416666666666668,background_clutter_noise,oracle,current,oracle,0.00015561209491400676,-0.0009002398101822107,0.0056926399341976,observed,23.533577985150966,23.533577985150966,4.2681450919348976,21.032845274672635,16.764700182737737,-6.768877802413228,20897371.29952915,4397480.061231338,7821267.685785011,34667.24673992612,1059.0,1059.0,15.0,1.0,97.0,13.44971616743564,72399001.84044927,111.0,typical_uniform_clutter,Typical: uniform texture
LOO_amplitude,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,amplitude,1.8416666666666668,background_clutter_noise,oracle,oracle,current,0.00015561209491400676,-0.0009002398101822107,0.0056926399341976,observed,28.28771753464334,28.28771753464334,4.2681450919348976,25.596753343749704,21.328608251814806,-6.95910928282853,20897371.29952915,4209017.495225037,7821267.685785011,11601.266318571412,4813.0,4813.0,15.0,1.0,1079.0,13.44971616743564,73875660.48267154,1092.0,typical_uniform_clutter,Typical: uniform texture
LOO_delay,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,delay,2.0,target_observation,oracle,oracle,oracle,0.0008713457219446949,-0.006377399498657813,0.004431448603891319,observed,23.70822621753646,23.70822621753646,4.284748615214408,21.276530880665078,16.99178226545067,-6.716443952085786,21083233.094949454,4490480.503231307,7860720.396001578,33468.7680740543,946.0,946.0,15.0,1.0,157.0,13.44971616743564,74588810.78126964,171.0,typical_uniform_clutter,Typical: uniform texture
LOO_support,ai_csi_stage2_typical_1beam_20260908,AI_T01_B31_R2200,support,1.8416666666666668,background_clutter_noise,current,oracle,oracle,0.00015561209491400676,-0.0009002398101822107,0.0056926399341976,observed,23.496073156974905,23.496073156974905,4.2681450919348976,21.028992487079936,16.76084739514504,-6.7352257618298665,20897371.29952915,4431687.035440088,7821267.685785011,34967.92277263103,1119.0,1119.0,15.0,1.0,119.0,13.44971616743564,72989276.64847857,133.0,typical_uniform_clutter,Typical: uniform texture
LOO_phase,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,phase,1.8416666666666668,background_clutter_noise,oracle,current,oracle,0.00014669609844997612,-0.0006659462504718134,0.005312548234351887,observed,21.150190760031165,21.150190760031165,1.5350114328039688,15.845369473357664,14.310358040553695,-6.839832719477467,149626370.31273237,30975966.707380477,105076838.51168169,806283.776894049,3618.0,3618.0,15.0,1.0,3918.0,13.44971616743564,572935084.9630035,3926.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
LOO_amplitude,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,amplitude,1.8416666666666668,background_clutter_noise,oracle,oracle,current,0.00014669609844997612,-0.0006659462504718134,0.005312548234351887,observed,25.80145945071278,25.80145945071278,1.5350114328039688,20.31795637277639,18.78294493997242,-7.01851451074036,149626370.31273237,29727383.76811875,105076838.51168169,276287.38278826716,6977.0,6977.0,15.0,1.0,3754.0,13.44971616743564,554591997.5135381,3762.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
LOO_delay,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,delay,2.0,target_observation,oracle,oracle,oracle,0.0008723840117269711,-0.006639853602988767,0.005078311564205722,observed,21.443024367885123,21.443024367885123,1.5718043894219391,16.28720439870325,14.71540000928131,-6.727624358603813,150997349.85967657,32077970.911974035,105145063.14416721,754199.8633254198,3564.0,3564.0,15.0,1.0,3925.0,13.44971616743564,588312857.616291,3933.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
LOO_support,ai_csi_stage2_nonideal_1beam_20260908,AI_T01_B31_R2200_NONIDEAL,support,1.8416666666666668,background_clutter_noise,current,oracle,oracle,0.00014669609844997612,-0.0006659462504718134,0.005312548234351887,observed,21.126955703615003,21.126955703615003,1.5350114328039688,15.86768649395211,14.33267506114814,-6.794280642466861,149626370.31273237,31302575.848960992,105076838.51168169,810609.0109343756,6172.0,6172.0,15.0,1.0,3981.0,13.44971616743564,575880847.0724142,3989.0,nonideal_nonuniform_amp_phase_drop,Non-ideal: nonuniform + amp/phase + drops
