source_variant,output_dir,config_path,config_sha256,gmticore_exit_code,status,detection_csv,detection_count,p38_inlier_ratio_mean,p38_inlier_ratio_min,p38_inlier_ratio_max,cfar_margin_db_mean,cfar_margin_db_min,cfar_margin_db_max
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/strong_motion,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/strong_motion,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/strong_motion/stage2/config/production_diagnostic.xml,402132a9a2d6fc951776c2dda4193e2085ee4de4b48ed11b2deb00b46e9646fb,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/strong_motion/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,5,1.0,1.0,1.0,7.714336202378304,3.14429145419077,10.1467770398768
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion/stage2/config/production_diagnostic.xml,91b267717657fa1b0defc63496b575f4cc458caa8344a7577c350d4e1b59603c,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_m3/M3_internal_clutter_motion/weak_motion/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,10,0.9743589743589741,0.974358974358974,0.974358974358974,7.066734094235282,4.05171189277681,9.45328577638754
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/moderate,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/moderate,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/moderate/stage2/config/production_diagnostic.xml,45f544d36f679cc279c4012315967043865b7c4975ebb96194aa95e5e32fc11e,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/moderate/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,46,1.0,1.0,1.0,2.0128525969651734,0.0101698331693275,10.1295098269135
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/strong,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/strong,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/strong/stage2/config/production_diagnostic.xml,1ed7c7fb2219f5d553507f14f51a6812afe887179dadfd831c30025d3320466e,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/strong/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,24,1.0,1.0,1.0,0.27187630240267785,0.00570713139391645,2.83559638055829
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/weak,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/weak,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/weak/stage2/config/production_diagnostic.xml,2a512c171f2acb3ec2f3d19821f610825f2a32f90537a0b7bcc02d893f6aac0f,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/weak/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,56,1.0,1.0,1.0,3.0329646813882136,0.00142470718533296,11.6275682933299
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/zero,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/zero,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/zero/stage2/config/production_diagnostic.xml,a9c2f1011a2153ea76070cb0d48dbfd84c3cfa1000455a486304dcd8ffc2afad,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M1_fractional_channel_delay/zero/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,68,1.0,1.0,1.0,3.6093084887735607,0.0075796160452938,12.1299125673588
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/moderate,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/moderate,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/moderate/stage2/config/production_diagnostic.xml,45e8ec299b35021baabe5140f6879d2588e33cb5beeb233c65000c084b4ab599,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/moderate/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,59,1.0,1.0,1.0,3.2444944033795022,0.00396527620104367,9.43687716541025
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/strong,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/strong,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/strong/stage2/config/production_diagnostic.xml,c434e090b7676f7c03f260589f01940553c0bd683c46af716fb832bf69aeed8f,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/strong/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,45,1.0,1.0,1.0,2.3121876669090358,0.00478035327536945,11.4540873243381
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/weak,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/weak,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/weak/stage2/config/production_diagnostic.xml,798dc1be6c643fed6d26ee150be4f8011bdecfd06e011872d184410b5f0a075f,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/weak/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,66,1.0,1.0,1.0,3.5643052109055517,0.00299135773871779,11.8976098916871
/tmp/pgrcc_formal_clean_09bbd62/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/zero,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/zero,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/zero/stage2/config/production_diagnostic.xml,0594182903fd54a358c815fba6a25d5a1cbd515c7354f9588103db420cbf07b3,0,pass,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_p38_cfar_diagnostics_formal_clean/outputs/ai_csi_model_mismatch_seed2026091012/M2_pulse_varying_differential_phase/zero/stage2/algorithm_result/period_0000/detection_results_GMTI01.csv,68,1.0,1.0,1.0,3.6093084887735607,0.0075796160452938,12.1299125673588
