case_id,run_id,result_id,period_id,beam_id,roi_name,valid_cells,before_mean_power,after_mean_power,before_median_power,after_median_power,before_rms,after_rms,before_p95,after_p95,before_max,after_max,CA_ROI_dB,phase_model_valid_cells,phase_model_weighted_coherence,phase_model_weighted_circular_rmse_rad,phase_model_median_abs_residual_rad,phase_model_p95_abs_residual_rad,status
temp_config_stage2_period_0000,20260910_133538_111971,GMTI01,0,1,active_support_unmasked,159705,159723.7893183,10983.3641452122,355.618591308594,23.5243148803711,399.654587510641,104.801546482923,120075.8046875,16079.1904296875,272553120,12783064,11.6263422238326,159705,0.965663106683647,0.269184844965813,0.281992680040516,1.57604310383817,diagnostic_noise_and_clutter_mixed
temp_config_stage2_period_0000,20260910_133538_111971,GMTI01,0,1,clutter_band_strong_power_top10pct,15972,1585495.47617951,107149.026108727,120074.5390625,13688.8256835938,1259.16459455446,327.336258469371,6173071,492018.34375,272553120,12783064,11.7017677917522,159705,0.965663106683647,0.269184844965813,0.281992680040516,1.57604310383817,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133538_111971,GMTI01,0,1,clutter_band_strong_power_top1pct,1599,13174793.3037836,541564.985156489,6145484,251538.46875,3629.70980985858,735.910989968549,43832676,2041505.75,272553120,12783064,13.86093233087,159705,0.965663106683647,0.269184844965813,0.281992680040516,1.57604310383817,formal_clutter_band_strong_roi_before_power_selected
temp_config_stage2_period_0000,20260910_133538_111971,GMTI01,0,1,clutter_band_strong_power_top0p1pct,161,60247150.3478261,1237891.91430347,43795192,439484.65625,7761.90378372639,1112.60591149943,129302592,4652489,272553120,12783064,16.8725378366781,159705,0.965663106683647,0.269184844965813,0.281992680040516,1.57604310383817,formal_clutter_band_strong_roi_before_power_selected
