method,requested_pfa,threshold,empirical_pfa,causal_pd,paired_causal_hit,positive_roi_peak_power,negative_roi_peak_power,negative_score_cell_count,target_only_roi_peak_power,target_loss_db_vs_target_only_peak,scnr_db_vs_negative_peak,pfa_calibration_status
Current,0.01,449221.875,0.010000228881835938,1.0,True,1305795.5,384.47003173828125,524288,1039741.3125,0.9894986728713523,-18.540839998526444,measured_from_negative_control_map
Current,0.001,3238305.0,0.0010013580322265625,0.0,False,1305795.5,384.47003173828125,524288,1039741.3125,0.9894986728713523,-18.540839998526444,measured_from_negative_control_map
Current,0.0001,11968185.0,0.0001010894775390625,0.0,False,1305795.5,384.47003173828125,524288,1039741.3125,0.9894986728713523,-18.540839998526444,measured_from_negative_control_map
