case_id,ve_mps,vn_mps,comparison,metric,metric_direction,current_condition,estimated_condition,known_condition,current_value,estimated_value,known_value,recoverable_space_known_minus_current,actual_recovered_estimated_minus_current,recovery_ratio
velocity_00,-3.0,2.0,B1_vs_B0,csi_cancellation_db,higher_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,2.77944136960425,2.77944411737053,2.77944426121513,2.891610880073614e-06,2.747766279842523e-06,0.9502545099610951
velocity_00,-3.0,2.0,B1_vs_B0,csi_coherence,higher_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,0.87930494377379,0.879305266883885,0.879305267150142,3.2337635202939197e-07,3.231100950129573e-07,0.9991766342382065
velocity_00,-3.0,2.0,B1_vs_B0,csi_rmse_rad,lower_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,0.569927785219586,0.56992713802962,0.569927136682266,6.485373199582867e-07,6.471899659521441e-07,0.9979224726709185
velocity_00,-3.0,2.0,B3_vs_B2,SCNR_improvement_dB,higher_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,-0.5136124266402362,-0.5019677368496858,-0.5042341561553627,0.009378270484873497,0.011644689790550444,1.2416670866267427
velocity_00,-3.0,2.0,B3_vs_B2,background_residual_p95_power,lower_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,4.385493303501112,4.394762041253015,4.394560779370235,-0.009067475869123598,-0.009268737751903622,1.0221960207763394
velocity_00,-3.0,2.0,B3_vs_B2,background_residual_p99_power,lower_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,7.3098636643809,7.376401877484475,7.371296889340046,-0.06143322495914649,-0.06653821310357522,1.0830981630514038
velocity_00,-3.0,2.0,B3_vs_B2,Pd,higher_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,1.0,1.0,1.0,0.0,0.0,
velocity_00,-3.0,2.0,B3_vs_B2,target_loss_dB,higher_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,-0.3299181844559379,-0.28992229994441227,-0.29428951517734786,0.03562866927859004,0.03999588451152564,1.1225758727834367
velocity_01,-6.0,4.0,B1_vs_B0,csi_cancellation_db,higher_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,2.80594096536519,2.80594585631235,2.80594585507806,4.889712869715623e-06,4.890947159719161e-06,1.0002524258655723
velocity_01,-6.0,4.0,B1_vs_B0,csi_coherence,higher_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,0.879103883126606,0.879104239074653,0.879104222606029,3.394794230171527e-07,3.5594804692618e-07,1.0485114053825735
velocity_01,-6.0,4.0,B1_vs_B0,csi_rmse_rad,lower_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,0.570415258808556,0.570414527117908,0.570414561181803,6.976267530323099e-07,7.316906480703267e-07,1.048828252199266
velocity_01,-6.0,4.0,B3_vs_B2,SCNR_improvement_dB,higher_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,-0.8086745567143936,-0.7541735669722698,-0.7595821443429003,0.04909241237149331,0.05450098974212381,1.1101713505073365
velocity_01,-6.0,4.0,B3_vs_B2,background_residual_p95_power,lower_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,4.37954447403496,4.3799924343644685,4.378628295487351,0.0009161785476088369,-0.0004479603295086676,-0.48894435552743876
velocity_01,-6.0,4.0,B3_vs_B2,background_residual_p99_power,lower_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,7.312106833408312,7.353706193943157,7.35149545471485,-0.03938862130653753,-0.04159936053484525,1.0561263419479168
velocity_01,-6.0,4.0,B3_vs_B2,Pd,higher_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,1.0,1.0,1.0,0.0,0.0,
velocity_01,-6.0,4.0,B3_vs_B2,target_loss_dB,higher_is_better,B2_Uncalibrated_4ch_STAP,B3_Blind_4ch_STAP,B3K_Known_4ch_STAP,-0.3074112515501064,-0.2697083146087387,-0.27391032162759554,0.03350092992251086,0.037702936941367726,1.1254295635546923
velocity_02,-12.0,8.0,B1_vs_B0,csi_cancellation_db,higher_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,2.79211573173922,2.79212203908114,2.79212190720812,6.175468900249115e-06,6.3073419203085734e-06,1.0213543331185975
velocity_02,-12.0,8.0,B1_vs_B0,csi_coherence,higher_is_better,B0_Current,B1_Blind_Estimated_Current,B1K_Known_Current,0.879428240590092,0.879428691286157,0.879428650060341,4.094702490409219e-07,4.506960650241254e-07,1.100680857961633
