family,level,value,phase_rmse_rad,phase_signature,wideband_delay_ns,csi_rmse_rad,residual_summary
M3_internal_clutter_motion,static_regression,1.0,0.17848316710917927,nonlinear_or_mixed_trend,0.03599618690042654,0.0560718574794563,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_m3_seed2026091011/M3_internal_clutter_motion/static_regression/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,weak_motion,0.99,0.34259772721397863,nonlinear_or_mixed_trend,-0.01829569766544827,0.137260607869669,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_m3_seed2026091011/M3_internal_clutter_motion/weak_motion/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,moderate_motion,0.95,0.46812168357003187,constant_offset_or_random_residual,0.07194926193863863,0.263713919304103,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_m3_seed2026091011/M3_internal_clutter_motion/moderate_motion/residual_texture/residual_texture_summary.json
M3_internal_clutter_motion,strong_motion,0.8,0.5996418790945592,constant_offset_or_random_residual,0.29891456250599385,0.400256571976991,/home/shy/AIR/SAR+AI/project/PGRCC/outputs/ai_csi_model_mismatch_formal_m3_seed2026091011/M3_internal_clutter_motion/strong_motion/residual_texture/residual_texture_summary.json
